"from","to"
"S0_C1","S0_C3"
"S0_C1","S1_C3"
"S0_C1","S2_C2"
"S0_C1","S2_C4"
"S0_C1","S7_C2"
"S0_C1","S7_C3"
"S0_C2","S2_C2"
"S0_C2","S2_C4"
"S0_C2","S5_C1"
"S0_C2","S19_C1"
"S0_C3","S1_C2"
"S0_C3","S1_C3"
"S0_C3","S8_C1"
"S0_C3","S10_C1"
"S1_C1","S2_C2"
"S1_C1","S11_C2"
"S1_C2","S2_C2"
"S1_C2","S11_C1"
"S1_C3","S5_C1"
"S1_C3","S7_C3"
"S2_C1","S13_C1"
"S2_C2","S2_C4"
"S2_C2","S4_C3"
"S2_C2","S5_C1"
"S2_C2","S7_C1"
"S2_C2","S7_C3"
"S2_C2","S8_C4"
"S2_C3","S5_C1"
"S2_C3","S7_C1"
"S2_C3","S7_C2"
"S2_C4","S2_C5"
"S2_C4","S11_C1"
"S2_C5","S6_C1"
"S2_C5","S13_C1"
"S2_C5","S16_C1"
"S3_C1","S9_C1"
"S4_C2","S9_C1"
"S4_C3","S8_C2"
"S4_C3","S14_C2"
"S4_C4","S19_C1"
"S5_C1","S5_C5"
"S5_C1","S8_C3"
"S5_C1","S18_C3"
"S5_C3","S8_C4"
"S5_C4","S14_C2"
"S7_C1","S9_C1"
"S7_C2","S12_C1"
"S7_C3","S11_C1"
"S7_C3","S15_C1"
"S8_C1","S14_C2"
"S8_C1","S18_C1"
"S8_C4","S16_C2"
"S8_C4","S18_C4"
"S9_C1","S12_C1"
"S9_C1","S17_C2"
"S10_C1","S16_C1"
"S10_C1","S17_C2"
"S11_C1","S13_C1"
"S11_C1","S18_C2"
"S11_C2","S12_C1"
"S13_C1","S18_C1"
"S13_C1","S18_C2"
"S14_C2","S15_C2"
"S14_C2","S19_C1"
"S15_C1","S16_C1"
"S16_C1","S17_C1"
